Date,App_Name,Category,Minutes_Used
2026-07-20,TikTok,Social Media,13
2026-07-20,Instagram,Social Media,23
2026-07-20,VS Code,Coding,79
2026-07-20,GitHub,Coding,201
2026-07-20,YouTube,Entertainment,42
2026-07-20,Netflix,Entertainment,13
2026-07-20,Duolingo,Education,45
2026-07-20,Kindle,Education,15
2026-07-21,TikTok,Social Media,120
2026-07-21,Instagram,Social Media,37
2026-07-21,VS Code,Coding,146
2026-07-21,GitHub,Coding,38
2026-07-21,YouTube,Entertainment,54
2026-07-21,Netflix,Entertainment,107
2026-07-21,Duolingo,Education,51
2026-07-21,Kindle,Education,110
2026-07-22,TikTok,Social Media,68
2026-07-22,Instagram,Social Media,11
2026-07-22,VS Code,Coding,122
2026-07-22,GitHub,Coding,183
2026-07-22,YouTube,Entertainment,47
2026-07-22,Netflix,Entertainment,15
2026-07-22,Duolingo,Education,47
2026-07-22,Kindle,Education,74
2026-07-23,TikTok,Social Media,107
2026-07-23,Instagram,Social Media,35
2026-07-23,VS Code,Coding,212
2026-07-23,GitHub,Coding,179
2026-07-23,YouTube,Entertainment,106
2026-07-23,Netflix,Entertainment,97
2026-07-23,Duolingo,Education,46
2026-07-23,Kindle,Education,4
2026-07-24,TikTok,Social Media,103
2026-07-24,Instagram,Social Media,44
2026-07-24,VS Code,Coding,34
2026-07-24,GitHub,Coding,201
2026-07-24,YouTube,Entertainment,66
2026-07-24,Netflix,Entertainment,27
2026-07-24,Duolingo,Education,17
2026-07-24,Kindle,Education,85
2026-07-25,TikTok,Social Media,19
2026-07-25,Instagram,Social Media,73
2026-07-25,VS Code,Coding,154
2026-07-25,GitHub,Coding,198
2026-07-25,YouTube,Entertainment,80
2026-07-25,Netflix,Entertainment,87
2026-07-25,Duolingo,Education,108
2026-07-25,Kindle,Education,51
2026-07-26,TikTok,Social Media,55
2026-07-26,Instagram,Social Media,44
2026-07-26,VS Code,Coding,209
2026-07-26,GitHub,Coding,47
2026-07-26,YouTube,Entertainment,23
2026-07-26,Netflix,Entertainment,20
2026-07-26,Duolingo,Education,19
2026-07-26,Kindle,Education,4
2026-07-27,TikTok,Social Media,36
2026-07-27,Instagram,Social Media,20
2026-07-27,VS Code,Coding,110
2026-07-27,GitHub,Coding,40
2026-07-27,YouTube,Entertainment,113
2026-07-27,Netflix,Entertainment,39
2026-07-27,Duolingo,Education,37
2026-07-27,Kindle,Education,26
2026-07-28,TikTok,Social Media,61
2026-07-28,Instagram,Social Media,48
2026-07-28,VS Code,Coding,226
2026-07-28,GitHub,Coding,171
2026-07-28,YouTube,Entertainment,29
2026-07-28,Netflix,Entertainment,70
2026-07-28,Duolingo,Education,45
2026-07-28,Kindle,Education,81
2026-07-29,TikTok,Social Media,58
2026-07-29,Instagram,Social Media,60
2026-07-29,VS Code,Coding,64
2026-07-29,GitHub,Coding,138
2026-07-29,YouTube,Entertainment,16
2026-07-29,Netflix,Entertainment,103
2026-07-29,Duolingo,Education,99
2026-07-29,Kindle,Education,29
2026-07-30,TikTok,Social Media,68
2026-07-30,Instagram,Social Media,40
2026-07-30,VS Code,Coding,168
2026-07-30,GitHub,Coding,55
2026-07-30,YouTube,Entertainment,56
2026-07-30,Netflix,Entertainment,105
2026-07-30,Duolingo,Education,116
2026-07-30,Kindle,Education,15
2026-07-31,TikTok,Social Media,1
2026-07-31,Instagram,Social Media,85
2026-07-31,VS Code,Coding,55
2026-07-31,GitHub,Coding,187
2026-07-31,YouTube,Entertainment,82
2026-07-31,Netflix,Entertainment,4
2026-07-31,Duolingo,Education,105
2026-07-31,Kindle,Education,38
2026-08-01,TikTok,Social Media,115
2026-08-01,Instagram,Social Media,73
2026-08-01,VS Code,Coding,131
2026-08-01,GitHub,Coding,221
2026-08-01,YouTube,Entertainment,81
2026-08-01,Netflix,Entertainment,44
2026-08-01,Duolingo,Education,90
2026-08-01,Kindle,Education,32
2026-08-02,TikTok,Social Media,120
2026-08-02,Instagram,Social Media,61
2026-08-02,VS Code,Coding,71
2026-08-02,GitHub,Coding,208
2026-08-02,YouTube,Entertainment,69
2026-08-02,Netflix,Entertainment,25
2026-08-02,Duolingo,Education,89
2026-08-02,Kindle,Education,80
